id_dokument,id_obdobi,cislo,typ,nazev,predkladatel,ct,id_x,end
250,170,3,13,,,449.0,5944.0,2011-12-01 11:15:06
281,170,67,13,,,449.0,5501.0,2011-12-06 10:44:09
298,170,96,13,,,498.0,5520.0,2011-12-06 13:44:28
299,170,97,13,,,395.0,5934.0,2011-12-06 14:03:32
300,170,98,13,,,498.0,5768.0,2011-12-06 14:29:07
305,170,103,13,,,395.0,5486.0,2011-12-06 15:34:04
307,170,105,13,,,498.0,5991.0,2011-12-06 16:00:12
310,170,108,13,,,498.0,5895.0,2011-12-06 17:37:27
315,170,113,13,,,498.0,377.0,2011-12-07 10:56:45
317,170,121,13,,,498.0,269.0,2011-12-07 07:42:14
326,170,142,13,,,498.0,5520.0,2011-12-07 09:03:03
329,170,145,13,,,498.0,366.0,2011-12-07 09:34:44
330,170,146,13,,,415.0,237.0,2011-12-07 09:09:05
337,170,153,13,,,363.0,5970.0,2011-12-07 10:37:21
338,170,154,13,,,498.0,5989.0,2011-12-07 10:39:30
339,170,155,13,,,416.0,5938.0,2011-12-07 10:56:45
340,170,156,13,,,498.0,5322.0,2011-12-07 11:01:36
350,170,166,13,,,363.0,5973.0,2011-12-07 13:47:03
351,170,167,13,,,337.0,5892.0,2011-12-07 14:46:50
356,170,172,13,,,517.0,5444.0,2011-12-07 16:47:04
360,170,183,13,,,460.0,122.0,2011-12-08 08:23:32
372,170,212,13,,,415.0,303.0,2011-12-08 11:27:32
374,170,214,13,,,460.0,5279.0,2011-12-08 11:57:15
375,170,215,13,,,460.0,5279.0,2011-12-08 12:00:16
522,170,724,13,,,449.0,5321.0,2012-01-18 21:09:39
554,170,821,12,Návrh pravidel hospodaření poslaneckých klubů pro rok 2012,organizační výbor,,,2012-01-24 10:18:11
565,170,866,13,,,463.0,5925.0,2012-01-27 15:31:09
581,170,882,13,,,431.0,5961.0,2012-01-27 16:44:00
587,170,922,13,,,426.0,5943.0,2012-01-31 09:37:29
590,170,925,13,,,518.0,5925.0,2012-01-31 09:44:05
591,170,926,13,,,449.0,5501.0,2012-01-31 10:00:16
592,170,927,13,,,449.0,5321.0,2012-01-31 10:31:41
597,170,932,13,,,447.0,5520.0,2012-01-31 12:52:28
600,170,935,13,,,337.0,5520.0,2012-01-31 13:01:03
602,170,937,13,,,528.0,366.0,2012-01-31 13:20:55
603,170,938,13,,,463.0,5487.0,2012-01-31 13:29:14
605,170,940,13,,,528.0,5311.0,2012-01-31 13:37:43
609,170,944,13,,,470.0,5453.0,2012-01-31 14:49:30
612,170,947,13,,,463.0,5255.0,2012-01-31 16:08:50
613,170,948,13,,,449.0,5507.0,2012-01-31 16:13:42
614,170,949,13,,,463.0,5900.0,2012-01-31 16:33:18
617,170,952,13,,,470.0,5984.0,2012-01-31 17:11:23
620,170,955,13,,,449.0,5506.0,2012-01-31 18:23:40
621,170,961,13,,,449.0,5507.0,2012-02-01 07:30:30
623,170,963,13,,,447.0,5520.0,2012-02-01 10:13:19
643,170,983,13,,,476.0,5310.0,2012-02-02 10:10:12
662,170,1044,13,,,449.0,5501.0,2012-02-07 12:44:38
663,170,1045,13,,,449.0,5899.0,2012-02-07 13:54:26
670,170,1052,13,,,449.0,5924.0,2012-02-07 14:28:43
671,170,1053,13,,,449.0,5924.0,2012-02-07 14:31:36
3085,170,1245,12,Zpráva  o činnosti Stálé komise PS pro kontrolu činnosti  Vojenského  zpravodajství za období od října 2010 do prosince 2011 ,SKVZ,,,2012-02-22 10:47:32
3086,170,1246,12,"Zpráva o činnosti Stálé komise PS pro kontrolu použití odposlechů a záznamů telekomunikačního provozu a použití sledování osob a věcí, rušení provozu elektronických komunikací a kontrolu činnosti Inspekce Policie za období od listopadu 2010 do prosince 2011  ",SKKPO,,,2012-02-22 10:49:50
3141,170,1401,13,,,531.0,5943.0,2012-03-06 10:54:54
3197,170,1523,13,,,581.0,5897.0,2012-03-13 09:16:57
3203,170,1529,13,,,581.0,5472.0,2012-03-13 11:42:49
3204,170,1530,13,,,536.0,5895.0,2012-03-13 13:49:31
3212,170,1538,13,,,510.0,5984.0,2012-03-13 13:59:38
3213,170,1539,13,,,523.0,415.0,2012-03-13 14:02:42
3214,170,1540,13,,,524.0,5507.0,2012-03-13 14:08:25
3216,170,1542,13,,,581.0,5473.0,2012-03-13 16:08:28
3233,170,1569,12,"Návrh usnesení Poslanecké sněmovny k návrhu na úpravu pravidel vnitřních poměrů a podrobnějších pravidel jednání Poslanecké sněmovny podle § 1 odst. 2 zákona č. 90/1995 Sb., o jednacím řádu Poslanecké sněmovny",organizační výbor,,,2012-03-16 11:49:19
3242,170,1582,13,,,535.0,5900.0,2012-03-15 19:39:17
3243,170,1583,13,,,535.0,366.0,2012-03-15 21:50:12
3245,170,1602,13,,,535.0,422.0,2012-03-16 09:27:24
3249,170,1606,13,,,535.0,5473.0,2012-03-16 09:58:27
3280,170,1656,13,,,619.0,5926.0,2012-03-20 15:50:15
3286,170,1681,13,,,580.0,5317.0,2012-03-22 09:28:58
3325,170,1830,13,,,594.0,211.0,2012-04-02 14:37:48
3337,170,1862,12,Zpráva o činnosti Stálé komise Poslanecké sněmovny Parlamentu ČR pro kontrolu činnosti Bezpečnostní informační služby za období říjen 2010 – prosinec 2011 ,Stálá komise PS pro kontrolu činnosti BIS,,,2012-04-05 11:08:52
3339,170,1881,12,"Návrh časového harmonogramu projednávání státního závěrečného účtu České republiky za rok 2011 v Poslanecké sněmovně a jejích orgánech a návrh na přikázání vládního návrhu státního závěrečného účtu, jeho kapitol a vztahů k státním fondům výborům k projednání",rozpočtový výbor,,,2012-04-06 09:14:12
3375,170,1948,13,,,595.0,5317.0,2012-04-12 12:08:55
