id_hist,id_tisk,datum,id_hlas,id_prechod,id_bod,schuze,usnes_ps,orgv_id_posl,ps_id_posl,orgv_p_usn,zaver_publik,zaver_sb_castka,zaver_sb_cislo,poznamka
125351,78,1995-09-01 00:00,,400,,,,,,,,,,
125352,78,1995-09-07 00:00,,401,,,,,,569.0,,,,
125353,78,1995-09-27 00:00,,408,21985.0,34.0,758.0,,,,,,,
125354,79,1995-09-25 00:00,,400,,,,,,,,,,
125355,79,,,403,,,,,,,,,,
125356,79,,,412,,,,,,,,,,
125357,79,1995-10-26 00:00,,408,,34.0,739.0,,,,,,,
125358,80,1995-10-05 00:00,,400,,,,,,,,,,
125359,80,1995-10-12 00:00,,401,,,,,,587.0,,,,
125360,80,1995-12-05 00:00,,408,22064.0,37.0,815.0,,,,,,,
125361,81,1995-10-11 00:00,,400,,,,,,,,,,
125362,81,1995-10-12 00:00,,401,,,,,,587.0,,,,
125363,81,1995-11-03 00:00,,408,21382.0,36.0,812.0,,,,,,,
125364,133,1995-12-04 00:00,,400,,,,,,,,,,
125365,133,1995-12-06 00:00,,401,,,,,,613.0,,,,
125366,133,1996-02-15 00:00,,408,21445.0,39.0,980.0,,,,,,,
125367,134,1995-12-04 00:00,,400,,,,,,,,,,
125368,134,1995-12-06 00:00,,401,,,,,,613.0,,,,
125369,134,1996-02-15 00:00,,408,21444.0,39.0,981.0,,,,,,,
125370,135,1995-11-28 00:00,,400,,,,,,,,,,
125371,135,1995-12-06 00:00,,401,,,,,,613.0,,,,
125372,135,1995-12-20 00:00,,408,22939.0,38.0,879.0,,,,,,,
125373,207,1995-12-07 00:00,,400,,,,,,,,,,
125374,207,1995-12-06 00:00,,401,,,,,,613.0,,,,
125375,207,1995-12-08 00:00,,408,,37.0,832.0,,,,,,,
125376,206,1996-01-05 00:00,,400,,,,,,,,,,
125377,206,1996-01-18 00:00,,401,,,,,,627.0,,,,
125378,206,1996-02-15 00:00,,408,21440.0,39.0,983.0,,,,,,,
125379,298,1996-01-29 00:00,,400,,,,,,,,,,
125380,298,1996-01-25 00:00,,401,,,,,,634.0,,,,
125381,298,1996-02-09 00:00,,408,21442.0,39.0,927.0,,,,,,,
125382,299,1996-01-29 00:00,,400,,,,,,,,,,
125383,299,1996-01-25 00:00,,401,,,,,,634.0,,,,
125384,299,1996-02-15 00:00,,408,21520.0,39.0,986.0,,,,,,,
125385,344,1996-03-11 00:00,,400,,,,,,,,,,
125386,344,1996-03-13 00:00,,401,,,,,,656.0,,,,
125387,345,1996-02-09 00:00,,400,,,,,,,,,,
125388,360,1996-03-04 00:00,,400,,,,,,,,,,
125389,360,1996-02-29 00:00,,401,,,,,,651.0,,,,
125390,416,1996-03-15 00:00,,400,,,,,,,,,,
125391,416,1996-03-13 00:00,,401,,,,,,656.0,,,,
125392,435,1996-04-03 00:00,,400,,,,,,,,,,
125393,435,1996-04-04 00:00,,401,,,,,,664.0,,,,
125394,442,1996-04-04 00:00,,400,,,,,,,,,,
125395,442,1996-04-04 00:00,,401,,,,,,664.0,,,,
125396,533,1996-07-04 00:00,,400,,,,,,,,,,
125397,533,1996-07-03 00:00,,401,,,,,,5.0,,,,
125398,533,1996-10-10 00:00,,408,7296.0,5.0,108.0,,,,,,,
125399,534,1996-07-04 00:00,,400,,,,,,,,,,
125400,534,1996-07-03 00:00,,401,,,,,,5.0,,,,
125402,547,1996-07-18 00:00,,400,,,,,,,,,,
125403,547,1996-07-24 00:00,,401,,,,,,23.0,,,,
125404,547,1996-10-02 00:00,,408,7253.0,5.0,64.0,,,,,,,
125405,552,1996-07-23 00:00,,400,,,,,,,,,,
125406,552,1996-07-24 00:00,,401,,,,,,22.0,,,,
125407,552,1996-10-29 00:00,,408,8307.0,5.0,125.0,,,,,,,
125408,553,1996-07-23 00:00,,400,,,,,,,,,,
125409,553,1996-07-24 00:00,,401,,,,,,22.0,,,,
125410,553,1996-10-31 00:00,,408,7314.0,6.0,152.0,,,,,,,
125411,559,1996-07-31 00:00,,400,,,,,,,,,,
125412,559,,,403,,,,,,,,,,
125413,559,,,412,,,,,,,,,,
125414,559,1996-10-29 00:00,,408,7297.0,5.0,121.0,,,,,,,
125415,562,1996-08-08 00:00,,400,,,,,,,,,,
125416,562,1996-09-12 00:00,,401,,,,,,29.0,,,,
125417,562,1996-10-29 00:00,,408,8306.0,5.0,124.0,,,,,,,
125418,579,1996-08-23 00:00,,400,,,,,,,,,,
125419,579,1996-09-12 00:00,,401,,,,,,29.0,,,,
125420,579,1996-10-29 00:00,,408,7239.0,5.0,120.0,,,,,,,
125421,589,1996-09-02 00:00,,400,,,,,,,,,,
125422,589,1996-09-12 00:00,,401,,,,,,29.0,,,,
125423,589,1996-10-31 00:00,,408,7312.0,6.0,151.0,,,,,,,
125424,590,1996-09-02 00:00,,400,,,,,,,,,,
125425,590,1996-09-12 00:00,,401,,,,,,29.0,,,,
125426,590,1996-10-29 00:00,,408,8308.0,5.0,126.0,,,,,,,
125427,591,1996-09-03 00:00,,400,,,,,,,,,,
125428,591,1996-09-12 00:00,,401,,,,,,29.0,,,,
125429,591,1997-02-27 00:00,,408,7439.0,8.0,258.0,,,,,,,
125430,608,1996-09-25 00:00,,400,,,,,,,,,,
125431,608,1996-10-02 00:00,,401,,,,,,41.0,,,,
125432,608,1996-10-31 00:00,,408,7313.0,6.0,148.0,,,,,,,
125433,610,1996-09-26 00:00,,400,,,,,,,,,,
125434,610,1996-09-19 00:00,,401,,,,,,34.0,,,,
125435,610,1996-10-02 00:00,,408,7238.0,5.0,,,,,,,,
125436,638,1996-10-03 00:00,,400,,,,,,,,,,
125437,638,1996-10-17 00:00,,401,,,,,,47.0,,,,
125438,638,1996-10-29 00:00,,408,8320.0,5.0,138.0,,,,,,,
125439,652,1996-10-18 00:00,,400,,,,,,,,,,
125440,652,1996-10-17 00:00,,401,,,,,,47.0,,,,
125441,652,1997-04-01 00:00,,414,7508.0,10.0,,,,,,,,
125442,663,1996-10-30 00:00,,400,,,,,,,,,,
125443,663,1996-10-24 00:00,,401,,,,,,56.0,,,,
125444,663,1996-10-31 00:00,,408,8321.0,6.0,150.0,,,,,,,
125445,687,1996-12-04 00:00,,400,,,,,,,,,,
125446,687,1996-12-11 00:00,,401,,,,,,80.0,,,,
125447,687,1997-03-28 00:00,,408,7477.0,10.0,300.0,,,,,,,
125448,688,1996-12-04 00:00,,400,,,,,,,,,,
125449,688,1996-12-11 00:00,,401,,,,,,80.0,,,,
125450,688,1997-03-28 00:00,,408,7468.0,10.0,301.0,,,,,,,
125451,759,1996-12-17 00:00,,400,,,,,,,,,,
125452,759,,,403,,,,,,,,,,
125453,759,,,412,,,,,,,,,,
125454,759,1996-12-20 00:00,,408,7326.0,7.0,201.0,,,,,,,
125455,772,1996-12-30 00:00,,400,,,,,,,,,,
125456,772,1997-01-16 00:00,,401,,,,,,88.0,,,,
125457,772,1997-04-01 00:00,,414,7507.0,10.0,305.0,,,,,,,
125458,778,1997-01-10 00:00,,400,,,,,,,,,,
125459,778,1997-01-16 00:00,,401,,,,,,88.0,,,,
125460,778,1997-02-27 00:00,,408,7440.0,8.0,259.0,,,,,,,
125461,782,1997-01-14 00:00,,400,,,,,,,,,,
125462,782,,,403,,,,,,,,,,
125463,782,,,412,,,,,,,,,,
125464,782,1997-04-01 00:00,,408,7478.0,10.0,306.0,,,,,,,
125465,785,1997-01-20 00:00,,400,,,,,,,,,,
125466,785,1997-01-23 00:00,,401,,,,,,92.0,,,,
125467,785,1997-06-11 00:00,,408,7515.0,11.0,374.0,,,,,,,
125468,786,1997-01-17 00:00,,400,,,,,,,,,,
125469,786,,,403,,,,,,,,,,
125470,786,,,412,,,,,,,,,,
125471,786,1997-03-28 00:00,,408,7504.0,10.0,302.0,,,,,,,
125472,791,1997-01-29 00:00,,400,,,,,,,,,,
125473,791,1997-02-05 00:00,,401,,,,,,101.0,,,,
125474,791,1997-04-03 00:00,,408,7469.0,10.0,320.0,,,,,,,
125475,798,1997-01-23 00:00,,400,,,,,,,,,,
125476,798,1997-01-23 00:00,,401,,,,,,92.0,,,,
125477,798,1997-02-14 00:00,,408,7443.0,8.0,221.0,,,,,,,
125478,838,1997-02-26 00:00,,400,,,,,,,,,,
125479,838,1997-02-26 00:00,,401,,,,,,113.0,,,,
125480,838,1997-04-04 00:00,,408,7505.0,10.0,325.0,,,,,,,
125481,853,1997-03-04 00:00,,400,,,,,,,,,,
125482,853,1997-03-06 00:00,,401,,,,,,117.0,,,,
125483,853,1997-06-11 00:00,,408,7575.0,11.0,381.0,,,,,,,
125484,859,1997-02-26 00:00,,400,,,,,,,,,,
125485,859,1997-02-26 00:00,,401,,,,,,113.0,,,,
125486,859,1997-04-04 00:00,,408,7470.0,10.0,326.0,,,,,,,
125487,926,1997-04-01 00:00,,400,,,,,,,,,,
125488,926,1997-04-02 00:00,,401,,,,,,136.0,,,,
125489,926,1997-06-11 00:00,,414,7513.0,11.0,,,,,,,,
125490,927,1997-04-11 00:00,,400,,,,,,,,,,
125491,927,1997-04-17 00:00,,401,,,,,,142.0,,,,
125492,927,1997-06-11 00:00,,408,7568.0,11.0,380.0,,,,,,,
125493,942,1997-04-17 00:00,,400,,,,,,,,,,
125494,942,1997-04-24 00:00,,401,,,,,,148.0,,,,
125495,942,1997-07-04 00:00,,408,7652.0,12.0,410.0,,,,,,,
125496,972,1997-04-30 00:00,,400,,,,,,,,,,
125497,972,1997-04-24 00:00,,401,,,,,,185.0,,,,
125498,972,1997-07-08 00:00,,408,7607.0,12.0,418.0,,,,,,,
125499,976,1997-05-06 00:00,,400,,,,,,,,,,
125500,976,,,403,,,,,,,,,,
125501,976,,,412,,,,,,,,,,
125502,976,1997-06-11 00:00,,408,7571.0,11.0,376.0,,,,,,,
125503,977,1997-05-06 00:00,,400,,,,,,,,,,
125504,977,,,403,,,,,,,,,,
125505,977,,,412,,,,,,,,,,
125506,977,1997-06-11 00:00,,408,7572.0,11.0,385.0,,,,,,,
125507,978,1997-05-12 00:00,,400,,,,,,,,,,
125508,978,1997-05-14 00:00,,401,,,,,,164.0,,,,
125509,978,1997-07-08 00:00,,408,7577.0,12.0,420.0,,,,,,,
125510,993,1997-05-09 00:00,,400,,,,,,,,,,
125511,993,1997-05-14 00:00,,401,,,,,,164.0,,,,
125512,993,1997-06-11 00:00,,408,8352.0,11.0,379.0,,,,,,,
125513,999,1997-05-13 00:00,,400,,,,,,,,,,
125514,999,1997-05-14 00:00,,401,,,,,,164.0,,,,
125515,999,1997-07-08 00:00,,408,7649.0,12.0,421.0,,,,,,,
125516,1000,1997-05-13 00:00,,400,,,,,,,,,,
125517,1000,1997-05-14 00:00,,401,,,,,,164.0,,,,
125518,1000,1997-07-04 00:00,,408,7648.0,12.0,411.0,,,,,,,
125519,1034,1997-06-16 00:00,,400,,,,,,,,,,
125520,1034,1997-06-19 00:00,,401,,,,,,186.0,,,,
125521,1034,1997-11-05 00:00,,408,7762.0,15.0,532.0,,,,,,,
125522,1061,1997-06-27 00:00,,400,,,,,,,,,,
125523,1061,1997-07-02 00:00,,401,,,,,,191.0,,,,
125524,1061,1997-11-05 00:00,,408,7764.0,15.0,533.0,,,,,,,
125525,1063,1997-06-20 00:00,,400,,,,,,,,,,
125526,1063,1997-06-19 00:00,,401,,,,,,186.0,,,,
125527,1063,1997-07-04 00:00,,408,7650.0,12.0,409.0,,,,,,,
125528,1064,1997-06-19 00:00,,400,,,,,,,,,,
125529,1064,1997-07-02 00:00,,401,,,,,,191.0,,,,
125530,1064,1997-11-05 00:00,,408,7761.0,15.0,534.0,,,,,,,
125531,1127,1997-07-25 00:00,,400,,,,,,,,,,
125532,1127,,,403,,,,,,,,,,
125533,1127,1997-07-25 00:00,,405,,,,,,35.0,,,,
125534,1127,1997-11-05 00:00,,408,7706.0,15.0,536.0,,,,,,,
125535,1134,1997-07-25 00:00,,400,,,,,,,,,,
125536,1134,,,403,,,,,,,,,,
125537,1134,1997-07-25 00:00,,405,,,,,,35.0,,,,
125538,1134,1997-11-05 00:00,,408,7760.0,15.0,535.0,,,,,,,
125539,1206,1997-09-24 00:00,,400,,,,,,,,,,
125540,1206,1997-09-25 00:00,,401,,,,,,208.0,,,,
125541,1206,1997-12-10 00:00,,408,7816.0,17.0,602.0,,,,,,,
125542,1209,1997-09-29 00:00,,400,,,,,,,,,,
125543,1209,,,403,,,,,,,,,,
125544,1209,,,412,,,,,,,,,,
125545,1209,1997-11-06 00:00,,408,7763.0,15.0,,,,,,,,
125546,1264,1997-10-14 00:00,,400,,,,,,,,,,
125547,1264,1997-10-15 00:00,,401,,,,,,220.0,,,,
125548,1264,1997-12-03 00:00,,408,7819.0,17.0,572.0,,,,,,,
125549,1304,1997-11-04 00:00,,400,,,,,,,,,,
125550,1304,1997-11-05 00:00,,401,,,,,,228.0,,,,
