id_tisku,id_organ,typ,id_hist,id_posl,poradi
78,28,2,125352,,
78,31,2,125352,,
80,31,2,125359,58.0,
81,36,2,125362,,
133,36,2,125365,53.0,
134,36,2,125368,53.0,
135,31,2,125371,,
135,34,2,125371,,
207,27,2,125374,,
207,37,2,125374,,
206,31,2,125377,98.0,
298,31,2,125380,71.0,
298,34,2,125380,21.0,
344,36,2,125386,63.0,
360,27,2,125389,39.0,
360,33,2,125389,151.0,
360,34,2,125389,38.0,
416,38,2,125391,,
435,36,2,125393,,
442,27,2,125395,,
533,75,2,125397,284.0,
534,73,2,125400,305.0,
547,73,2,125403,262.0,
552,78,2,125406,214.0,
553,78,2,125409,314.0,
562,78,2,125416,341.0,
579,80,2,125419,261.0,
589,78,2,125422,,
590,78,2,125425,314.0,
591,76,2,125428,274.0,
608,75,2,125431,293.0,
610,73,2,125434,305.0,
638,80,2,125437,261.0,
652,73,2,125440,262.0,
663,73,2,125443,,
687,78,2,125446,214.0,
688,78,2,125449,355.0,
759,75,2,125453,298.0,
759,79,2,125453,,
772,73,2,125456,262.0,
778,76,2,125459,274.0,
785,69,2,125466,388.0,
785,79,2,125466,229.0,
785,80,2,125466,,
791,69,2,125473,407.0,
798,79,2,125476,,
838,78,2,125479,314.0,
853,78,2,125482,238.0,
859,73,2,125485,321.0,
926,76,2,125488,374.0,
927,78,2,125491,383.0,
942,78,2,125494,375.0,
972,73,2,125497,262.0,
978,75,2,125508,,
978,72,2,125508,241.0,
993,73,2,125511,,
999,75,2,125514,293.0,
999,72,2,125514,335.0,
1000,78,2,125517,232.0,
1000,73,2,125517,305.0,
1034,75,2,125520,284.0,
1061,77,2,125523,,
1063,73,2,125526,262.0,
1064,78,2,125529,214.0,
1127,80,2,125533,242.0,
1134,80,2,125537,242.0,
1206,76,2,125540,213.0,
1264,73,2,125547,262.0,
1304,73,2,125550,321.0,
1305,77,2,125553,,
1314,80,2,125555,,
1314,73,2,125555,,
1329,69,2,125558,407.0,
1338,78,2,125561,,
1355,78,2,125564,214.0,
1356,78,2,125566,383.0,
1363,69,2,125568,319.0,
1372,76,2,125571,213.0,
1379,73,2,125574,262.0,
1412,73,2,125580,262.0,
1493,78,2,125583,214.0,
1531,69,2,125586,407.0,
1548,79,2,125589,304.0,
1548,75,2,125589,298.0,
1544,75,2,125592,,
1549,78,2,125595,314.0,
1561,76,2,125597,252.0,
1562,76,2,125599,252.0,
1567,80,2,125601,215.0,
1639,78,2,125603,383.0,
1640,77,2,125605,221.0,
1641,73,2,125607,262.0,
1642,73,2,125609,362.0,
1642,77,2,125609,221.0,
1665,78,2,125611,314.0,
1666,75,2,125613,298.0,
1666,79,3,125613,336.0,
1676,69,2,125616,407.0,
1775,85,2,125620,494.0,
1776,93,2,125623,544.0,
1777,85,2,125626,597.0,
1778,85,2,125629,597.0,
1779,90,2,125632,427.0,
1779,84,2,125632,541.0,
1780,85,2,125635,494.0,
1788,84,2,125638,446.0,
1788,88,2,125638,492.0,
1824,84,2,125641,541.0,
1832,93,2,125644,544.0,
1833,93,2,125647,473.0,
1853,91,2,125650,446.0,
1875,85,2,125653,593.0,
1878,85,2,125656,597.0,
1878,81,2,125656,611.0,
1879,81,2,125659,611.0,
1879,85,2,125659,597.0,
1893,93,2,125662,544.0,
1894,85,2,125665,560.0,
1897,89,2,125668,441.0,
1906,89,2,125671,545.0,
1907,93,2,125674,,
1907,85,3,125674,593.0,
