id_stav,id_typ,id_druh,popis,lhuta,lhuta_where
0,0,0,,,
10,7,1,do 15-ti dnů od rozeslání,-15.0,0.0
11,10,1,,,
12,1,1,po 10 dnech od rozeslání poslancům,10.0,0.0
13,3,1,60 dnů (+-20) od přikázání,60.0,17.0
14,4,1,,,
15,21,1,72 hod. od rozeslání pozměň. návrhů,2.0,
16,12,1,do 30 dnů od doručení,-30.0,38.0
17,14,1,po 10 dnech od zamítnutí Senátem,10.0,44.0
18,8,1,do 15 dnů od postoupení,-15.0,49.0
19,13,1,po 10 dnech od nepodepsání,10.0,51.0
20,11,1,,,
21,6,1,,,
22,17,1,po 10 dnech od rozeslání poslancům,10.0,0.0
23,18,1,,,
24,44,1,,,
25,44,3,,,
26,14,1,po 10 dnech od rozeslání,10.0,62.0
27,20,1,,,
28,20,2,,,
30,3,1,dle lhůty od předsedy PS,,1103.0
31,21,1,,,
32,5,1,,,
33,63,1,po 10 dnech od rozeslání,10.0,62.0
34,64,1,,,
50,15,2,do 30 dnů od doručení,-30.0,101.0
51,7,2,do 15 dnů od doručení stan. vlády,-15.0,102.0
52,10,2,,,
53,1,2,po 10 dnech od rozesl. stan. vlády,9.0,109.0
54,3,2,60 dnů (+-20) od přikázání,60.0,111.0
55,4,2,,,
56,21,2,72 hod. od rozeslání pozměň. návrhů,2.0,
57,12,2,do 30 dnů od doručení,-30.0,132.0
58,14,2,po 10 dnech od rozeslání,10.0,138.0
59,8,2,do 15 dnů od postoupení,-15.0,143.0
60,13,2,po 10 dnech od nepodepsání,10.0,145.0
61,11,2,,,
62,6,2,,,
63,16,2,,,
64,17,2,po 10 dnech od rozeslání poslancům,10.0,109.0
65,18,2,,,
66,5,2,,2.0,126.0
67,22,2,,,
68,20,1,,,
69,20,2,,,
70,64,2,,,
100,10,3,,,
101,1,3,,,
102,15,3,,20.0,
103,2,3,,30.0,202.0
104,5,3,48 hodin od ukončení 2. čtení,1.0,207.0
105,8,3,do 15 dnů od postoupení,-15.0,216.0
106,13,3,po 10 dnech od rozeslání,10.0,220.0
107,11,3,,,
108,6,3,,,
140,10,1, ,,
141,20,1,,,
150,7,4,do 15-ti dnů od rozeslání,-15.0,0.0
151,10,4, ,,
152,1,4,po 10 dnech od rozeslání poslancům,10.0,0.0
153,2,4,60 dnů (+-20) od přikázání,60.0,305.0
154,12,4,do 30 dnů od doručení,-30.0,313.0
155,14,4,po 10 dnech od rozeslání,10.0,319.0
156,11,4, ,,
157,6,4, ,,
158,8,4, ,,
159,15,4,,,
160,19,4,,,
161,20,4,,,
162,17,4,,,
163,18,4,,,
165,7,4,do 15-ti dnů od rozeslání,-15.0,0.0
166,10,4, ,,
167,1,4,po 10 dnech od rozeslání poslancům,10.0,0.0
168,2,4,60 dnů (+-20) od přikázání,60.0,305.0
169,12,4,do 30 dnů od doručení,-30.0,313.0
170,14,4,po 10 dnech od rozeslání,10.0,319.0
171,11,4, ,,
172,6,4, ,,
173,8,4, ,,
175,19,4,,,
176,20,4,,,
177,17,4,,,
178,18,4,,,
200,7,5,,,
201,10,5,,,
202,1,5,,,
203,6,5,,,
204,65,5,,,
250,20,6,"pokud nesouhlas, nová odpověď do 30 dnů",-30.0,
251,6,6,,,
300,40,2,,,
301,41,2,,,
302,40,1,,,
303,41,1,,,
401,42,1,,,
402,42,2,,,
403,42,3,,,
404,42,4,,,
405,42,5,,,
406,42,6,,,
416,42,16,,,
417,42,17,,,
466,6,16,,,
467,6,17,,,
468,6,18,,,
469,6,19,,,
500,7,41,,,
501,10,41,,,
502,1,41,,,
503,6,41,,,
600,10,45,,,
601,52,45,,,
602,1,45,,,
603,6,46,,,
700,7,46,,,
701,10,46,,,
702,1,46,,,
703,2,46,60 dnů (+-20) od přikázání,60.0,802.0
704,6,46,,,
800,10,45,,,
801,52,45,,,
802,1,45,,,
803,6,45,,,
900,0,48,,,
901,20,48,,,
902,6,48,,,
1001,1,49,,,
1002,6,49,,,
1003,12,49,,,
1004,8,49,,,
1005,11,49,,,
1006,11,49,,,
1007,20,49,,,
1101,4,1,,,
1102,21,1,14 dnů od rozeslání pozměňovacích návrhů,14.0,
1103,21,1,14 dnů od rozeslání pozměňovacích návrhů,14.0,
1104,54,1,,,
1105,55,1,,,
1106,4,2,,,
1107,21,2,14 dnů od rozeslání pozměňovacích návrhů,13.0,
1108,21,2,14 dnů od rozeslání pozměňovacích návrhů,13.0,
1109,54,2,,,
1110,55,2,,,
1200,7,53,,,
1201,10,53,,,
1202,1,53,,,
1203,6,53,,,
