id_poradi,id_losovani,id_poslanec,id_ministr,vec,poradi_l,priorita,vec32
1142,61,180,62,ve věci soudců                                              ,7,0,
1160,61,180,62,ve věci soudů                                               ,30,0,
1161,61,180,276,ve věci zabezpečení voleb                                   ,31,0,
1162,61,180,276,ve věci voleb                                               ,22,0,
1163,61,331,299,ve věci zemědělství                                         ,4,0,
1164,61,331,299,ve věci zemědělství                                         ,34,0,
1165,61,328,299,ve věci zemědělska                                          ,16,0,
1166,61,328,299,ve věci zemědělství                                         ,20,0,
1167,62,327,263,ve věci nespecifikované                                     ,2,0,
1168,62,326,263,ve věci nespecifikované                                     ,9,0,
1169,62,329,263,ve věci lehkých topných olejů                               ,14,0,
1170,62,319,263,ve věci bytové situace                                      ,3,0,
1171,62,321,263,ve věci nepokojů 24.6.96                                    ,12,0,
1172,62,327,263,ve věci bydlení                                             ,8,0,
1173,62,115,263,ve věci vládního prohlášení                                 ,16,0,
1174,62,322,263,ve věci nespecifikované                                     ,11,0,
1175,62,320,263,ve věci nespecifikované                                     ,1,0,
1176,62,93,263,ve věci česko-německých jednání                             ,13,0,
1177,61,321,272,ve věci výuky cizích jazyků                                 ,2,0,
1178,61,321,281,ve věci nespecifikované                                     ,8,0,
1179,61,326,276,ve věci nespecifikované I                                   ,23,0,
1180,61,326,62,ve věci nespecifikované I                                   ,24,0,
1181,61,93,288,ve věci nespecifikované                                     ,29,0,
1182,61,93,276,ve věci nespecifikované                                     ,32,0,
1183,61,327,437,ve věci nespecifikované                                     ,18,0,
1184,61,322,276,ve věci nespecifikované                                     ,19,0,
1185,61,327,152,ve věci nemocnice                                           ,27,0,
1186,61,319,276,ve věci bezpečnostní situace                                ,33,0,
1187,61,115,284,ve věci sudetoněmecké otázky                                ,12,0,
1188,61,321,281,ve věci nespecifikované                                     ,28,0,
1189,61,329,437,ve věci nespecifikované                                     ,1,0,
1190,61,330,264,ve věci ztrátových pohledávek                               ,11,0,
1191,61,330,264,ve věci nespecifikované                                     ,5,0,
1192,61,320,62,ve věci nespecifikované                                     ,21,0,
1193,61,320,62,ve věci nespecifikované II                                  ,13,0,
1194,61,312,264,ve věci pohledávek českého státu                            ,15,0,
1195,61,162,281,ve věci valorizace důchodů 96                               ,6,0,
1196,62,319,263,ve věci vandalismu v ulicích Prahy                          ,5,0,
1197,62,319,263,ve věci bytové otázky                                       ,15,0,
1198,62,329,263,ve věci lehkých topných olejů                               ,4,0,
