id_funkce,id_organ,id_typ_funkce,nazev_funkce_cz,priorita
1,1,1,Místopředseda klubu ČMSS,2
2,1,2,Předseda klubu ČMSS,1
3,2,1,Místopředseda klubu ČMUS,2
4,2,2,Předseda klubu ČMUS,1
5,3,1,Místopředseda klubu ČSSD,2
6,3,2,Předseda klubu ČSSD,1
7,4,1,Místopředseda klubu HSDMS,2
8,4,2,Předseda klubu HSDMS,1
9,5,1,Místopředseda klubu HSD-SMS,2
10,5,2,Předseda klubu HSD-SMS,1
11,6,1,Místopředseda klubu KDS,2
12,6,2,Předseda klubu KDS,1
13,7,1,Místopředseda klubu KDS1,2
14,7,2,Předseda klubu KDS1,1
15,8,1,Místopředseda klubu KDU-ČSL,2
16,8,2,Předseda klubu KDU-ČSL,1
17,9,1,Místopředseda klubu KSČM,2
18,9,2,Předseda klubu KSČM,1
19,10,1,Místopředseda klubu LB,2
20,10,2,Předseda klubu LB,1
21,11,1,Místopředseda klubu LSNS,2
22,11,2,Předseda klubu LSNS,1
23,12,1,Místopředseda klubu LSU,2
24,12,2,Předseda klubu LSU,1
25,13,1,Místopředseda klubu Nezařaz,2
26,13,2,Předseda klubu Nezařaz,1
27,14,1,Místopředseda klubu ODA,2
28,14,2,Předseda klubu ODA,1
29,15,1,Místopředseda klubu ODS,2
30,15,2,Předseda klubu ODS,1
31,16,1,Místopředseda klubu ONH,2
32,16,2,Předseda klubu ONH,1
33,17,1,Místopředseda klubu SPR-RSČ,2
34,17,2,Předseda klubu SPR-RSČ,1
112,40,1,Místopředseda klubu ČSSD,2
113,40,2,Předseda klubu ČSSD,1
114,41,1,Místopředseda klubu KDU-ČSL,2
115,41,2,Předseda klubu KDU-ČSL,1
116,42,1,Místopředseda klubu KSČM,2
117,42,2,Předseda klubu KSČM,1
118,43,1,Místopředseda klubu Nezařaz,2
119,43,2,Předseda klubu Nezařaz,1
120,44,1,Místopředseda klubu ODA,2
121,44,2,Předseda klubu ODA,1
122,45,1,Místopředseda klubu ODS,2
123,45,2,Předseda klubu ODS,1
124,46,1,Místopředseda klubu SPR-RSČ,2
125,46,2,Předseda klubu SPR-RSČ,1
126,47,1,Místopředseda klubu US,2
127,47,2,Předseda klubu US,1
128,48,1,Místopředseda klubu ČSSD,2
129,48,2,Předseda klubu ČSSD,1
130,49,1,Místopředseda klubu KDU-ČSL,2
131,49,2,Předseda klubu KDU-ČSL,1
132,50,1,Místopředseda klubu KSČM,2
133,50,2,Předseda klubu KSČM,1
134,51,1,Místopředseda klubu ODS,2
135,51,2,Předseda klubu ODS,1
136,52,1,Místopředseda klubu US,2
137,52,2,Předseda klubu US,1
711,596,2,Předseda klubu KSČM,1
715,596,93,1. místopředseda,2
716,596,94,2. místopředseda,3
719,596,92,Člen vedení klubu (1. v pořadí),10
720,596,92,Člen vedení klubu (2. v pořadí),11
712,597,2,Předseda,1
713,597,1,Místopředseda (1. v pořadí),2
714,597,1,Místopředseda (2. v pořadí),3
960,597,1,Místopředseda (3. v pořadí),4
717,598,2,Předseda klubu US-DEU,1
718,598,1,Místopředseda klubu US-DEU,2
988,598,110,Revizor,500
721,599,2,Předseda klubu ČSSD,1
722,599,1,Místopředseda (1. v pořadí),2
723,599,1,Místopředseda (2. v pořadí),3
724,599,1,Místopředseda (3. v pořadí),4
725,599,1,Místopředseda (4. v pořadí),5
726,599,1,Místopředseda (5. v pořadí),6
727,599,1,Místopředseda (6. v pořadí),7
940,599,1,Místopředseda,20
728,600,2,Předseda klubu ODS,1
729,600,93,1. místopředseda klubu ODS,2
730,600,94,2. místopředseda klubu ODS,3
731,600,95,3. místopředseda klubu ODS,4
989,600,111,4. místopředseda klubu ODS,7
1044,750,2,Předseda,1
1045,750,93,1. místopředseda,5
1046,750,94,"2, místopředseda",6
1148,750,1,Místopředseda,30
1051,751,2,Předseda,1
1052,751,93,1. místopředseda,5
1053,751,94,2. místopředseda,6
1387,751,95,3. místopředseda,7
1047,752,2,Předseda,1
1048,752,93,1. místopředseda,4
1049,752,1,Místopředseda,10
1178,752,94, 2. místopředseda,5
1179,752,95,3. místopředseda,6
1180,752,111,4. místopředseda,7
1050,753,2,Předseda,1
1054,753,93,1. místopředseda,5
1055,753,94,2. místopředseda,6
1056,753,95,3. místopředseda,7
1057,753,111,4. místopředseda,8
1058,753,114,5. místopředseda,9
1164,753,1,Místopředseda,20
1165,754,2,Předseda,1
1166,754,93,1. místopředseda,2
1167,754,1,Místopředseda,3
1273,852,2,Předseda,1
1274,852,1,Místopředseda,10
1275,852,93,1. mistopredseda,2
