id_typ_org,typ_id_typ_org,nazev_typ_org_cz,nazev_typ_org_en,typ_org_obecny,priorita
12,0,Česká republika,Czech Republic,0,1
18,12,Prezident,President,0,39
6,12,Politická strana,Party,0,14
11,12,Parlament,Parliament,0,10
1,11,Klub,Political Group,1,400
3,11,Výbor,Committee,3,100
4,3,Podvýbor,Subcommittee,0,151
2,11,Komise,Commission,2,200
7,11,Delegace,Delegation,7,300
13,7,Meziparlamentní skupina v rámci MPU,Interparliamentary Friendship Group,0,451
20,12,Česká národní rada,Czech National Council,0,16
5,12,Vláda,Government,0,40
8,12,Volební kraj,Region,0,13
74,7,Konvent EU,European Convention,0,452
15,12,Instituce,Institution,0,2000
75,8,Volební kraj - 2002, ,0,10
76,12,Snem Slovenskej republiky,Assembly of Slovak Republic,0,209
40,5,Legislativní rada vlády,Legislative Council of the Government,0,30
21,12,Federální shromáždění České a Slovenské Federativní republiky,Federal Assembly,0,18
22,12,Federální shromáždění Československé socialistické republiky,Federal Assembly,0,20
23,12,Národní shromáždění Československé socialistické republiky,National Assembly,0,22
24,12,Národní shromáždění republiky Československé,National Assembly,0,24
25,12,Ústavodárné Národní shromáždění republiky Československé,Constitutional National Assembly,0,26
26,12,Prozatimní Národní shromáždění republiky Československé,Provisory National Assembly,0,27
27,12,Národní shromáždění československé,National Assembly,0,28
28,12,Sněm království Českého,Assembly of the Czech Kingdom,0,30
29,27,Výbor,Committee,3,100
30,22,Sněmovna lidu,Chamber of People,0,105
31,22,Sněmovna národů,Chamber of Nations,0,106
32,24,Klub,Political Group,1,109
33,24,Výbor,Committee,3,12
34,27,Klub,Political Group,1,205
35,24,Komise,Commission,2,30
41,15,Prezídium,Presidium,0,10
42,15,Dozorčí rada,Board of Trustees,0,2010
87,12,Společné schůze Poslanecké sněmovny a Senátu,Joint Sessions of the Chamber of Deputies and the Senate,0,600
49,30,Výbor,Committee,3,201
88,20,Klub,Political Group,0,400
45,15,Správní rada,Board of Governors,0,2020
77,12,Evropský parlament,European Parliament,0,500
47,22,Předsednictvo,Presidium,0,104
48,30,Klub,Political Group,1,202
50,30,Předsednictvo,Presidium,0,200
51,31,Předsednictvo,Presidium,0,200
52,31,Výbor,Committee,3,201
53,31,Klub,Political Group,1,202
54,21,Sněmovna lidu,Chamber of People,0,101
55,21,Sněmovna národů,Chamber of Nations,0,102
56,24,Předsednictvo,Presidium,0,9
57,21,Předsednictvo,Presidium,0,9
89,20,Výbor,Committee,0,600
90,79,Senátoský klub,Senate Political Group,0,10
17,0,xKlub,,1,0
67,54,Klub,Political Group,0,10
16,0,xPS,,0,0
68,54,Klub,Political Group,0,501
69,55,Klub,Political Group,0,501
78,3,Pracovní skupina,Working Group,0,161
79,12,Senát,Senate,0,600
80,0,Evropská unie,European Union,0,100
81,80,Evropská centrální banka,European Central Bank,0,10
82,15,Orgány Registru, ,0,100
83,11,Pracovní skupina,Working Group,0,390
84,12,Mezinárodní organizace,International organizations,0,700
85,84,Parlamentní shromáždění NATO, ,0,10
86,85,Výbor,Committee,0,10
9,0,Slovenská republika,Slovak Republic,0,100
10,9,Národná rada Slovenskej republiky,National Council,0,100
112,111,Oddělení, ,0,10
113,108,Oddělení, ,0,10
114,109,Oddělení, ,0,10
115,102,Oddělení, ,0,10
116,0,Test,,0,1000
117,101,Externi,,0,30001
118,15,Ostatní,Other,0,200
119,15,Dozorčí komise,Supervisory Commission,0,2015
