id_hist,id_tisk,datum,id_hlas,id_prechod,id_bod,schuze,usnes_ps,orgv_id_posl,ps_id_posl,orgv_p_usn,zaver_publik,zaver_sb_castka,zaver_sb_cislo,poznamka
125351,78,1995-09-01 00:00,0,400,0,0,0,0,0,0,,0,,
125352,78,1995-09-07 00:00,0,401,0,0,0,0,0,569,,0,,
125353,78,1995-09-27 00:00,0,408,21985,34,758,0,0,0,,0,,
125354,79,1995-09-25 00:00,0,400,0,0,0,0,0,0,,0,,
125355,79,,0,403,0,0,0,0,0,0,,0,,
125356,79,,0,412,0,0,0,0,0,0,,0,,
125357,79,1995-10-26 00:00,0,408,0,34,739,0,0,0,,0,,
125358,80,1995-10-05 00:00,0,400,0,0,0,0,0,0,,0,,
125359,80,1995-10-12 00:00,0,401,0,0,0,0,0,587,,0,,
125360,80,1995-12-05 00:00,0,408,22064,37,815,0,0,0,,0,,
125361,81,1995-10-11 00:00,0,400,0,0,0,0,0,0,,0,,
125362,81,1995-10-12 00:00,0,401,0,0,0,0,0,587,,0,,
125363,81,1995-11-03 00:00,0,408,21382,36,812,0,0,0,,0,,
125364,133,1995-12-04 00:00,0,400,0,0,0,0,0,0,,0,,
125365,133,1995-12-06 00:00,0,401,0,0,0,0,0,613,,0,,
125366,133,1996-02-15 00:00,0,408,21445,39,980,0,0,0,,0,,
125367,134,1995-12-04 00:00,0,400,0,0,0,0,0,0,,0,,
125368,134,1995-12-06 00:00,0,401,0,0,0,0,0,613,,0,,
125369,134,1996-02-15 00:00,0,408,21444,39,981,0,0,0,,0,,
125370,135,1995-11-28 00:00,0,400,0,0,0,0,0,0,,0,,
125371,135,1995-12-06 00:00,0,401,0,0,0,0,0,613,,0,,
125372,135,1995-12-20 00:00,0,408,22939,38,879,0,0,0,,0,,
125373,207,1995-12-07 00:00,0,400,0,0,0,0,0,0,,0,,
125374,207,1995-12-06 00:00,0,401,0,0,0,0,0,613,,0,,
125375,207,1995-12-08 00:00,0,408,0,37,832,0,0,0,,0,,
125376,206,1996-01-05 00:00,0,400,0,0,0,0,0,0,,0,,
125377,206,1996-01-18 00:00,0,401,0,0,0,0,0,627,,0,,
125378,206,1996-02-15 00:00,0,408,21440,39,983,0,0,0,,0,,
125379,298,1996-01-29 00:00,0,400,0,0,0,0,0,0,,0,,
125380,298,1996-01-25 00:00,0,401,0,0,0,0,0,634,,0,,
125381,298,1996-02-09 00:00,0,408,21442,39,927,0,0,0,,0,,
125382,299,1996-01-29 00:00,0,400,0,0,0,0,0,0,,0,,
125383,299,1996-01-25 00:00,0,401,0,0,0,0,0,634,,0,,
125384,299,1996-02-15 00:00,0,408,21520,39,986,0,0,0,,0,,
125385,344,1996-03-11 00:00,0,400,0,0,0,0,0,0,,0,,
125386,344,1996-03-13 00:00,0,401,0,0,0,0,0,656,,0,,
125387,345,1996-02-09 00:00,0,400,0,0,0,0,0,0,,0,,
125388,360,1996-03-04 00:00,0,400,0,0,0,0,0,0,,0,,
125389,360,1996-02-29 00:00,0,401,0,0,0,0,0,651,,0,,
125390,416,1996-03-15 00:00,0,400,0,0,0,0,0,0,,0,,
125391,416,1996-03-13 00:00,0,401,0,0,0,0,0,656,,0,,
125392,435,1996-04-03 00:00,0,400,0,0,0,0,0,0,,0,,
125393,435,1996-04-04 00:00,0,401,0,0,0,0,0,664,,0,,
125394,442,1996-04-04 00:00,0,400,0,0,0,0,0,0,,0,,
125395,442,1996-04-04 00:00,0,401,0,0,0,0,0,664,,0,,
125396,533,1996-07-04 00:00,0,400,0,0,0,0,0,0,,0,,
125397,533,1996-07-03 00:00,0,401,0,0,0,0,0,5,,0,,
125398,533,1996-10-10 00:00,0,408,7296,5,108,0,0,0,,0,,
125399,534,1996-07-04 00:00,0,400,0,0,0,0,0,0,,0,,
125400,534,1996-07-03 00:00,0,401,0,0,0,0,0,5,,0,,
125402,547,1996-07-18 00:00,0,400,0,0,0,0,0,0,,0,,
125403,547,1996-07-24 00:00,0,401,0,0,0,0,0,23,,0,,
125404,547,1996-10-02 00:00,0,408,7253,5,64,0,0,0,,0,,
125405,552,1996-07-23 00:00,0,400,0,0,0,0,0,0,,0,,
125406,552,1996-07-24 00:00,0,401,0,0,0,0,0,22,,0,,
125407,552,1996-10-29 00:00,0,408,8307,5,125,0,0,0,,0,,
125408,553,1996-07-23 00:00,0,400,0,0,0,0,0,0,,0,,
125409,553,1996-07-24 00:00,0,401,0,0,0,0,0,22,,0,,
125410,553,1996-10-31 00:00,0,408,7314,6,152,0,0,0,,0,,
125411,559,1996-07-31 00:00,0,400,0,0,0,0,0,0,,0,,
125412,559,,0,403,0,0,0,0,0,0,,0,,
125413,559,,0,412,0,0,0,0,0,0,,0,,
125414,559,1996-10-29 00:00,0,408,7297,5,121,0,0,0,,0,,
125415,562,1996-08-08 00:00,0,400,0,0,0,0,0,0,,0,,
125416,562,1996-09-12 00:00,0,401,0,0,0,0,0,29,,0,,
125417,562,1996-10-29 00:00,0,408,8306,5,124,0,0,0,,0,,
125418,579,1996-08-23 00:00,0,400,0,0,0,0,0,0,,0,,
125419,579,1996-09-12 00:00,0,401,0,0,0,0,0,29,,0,,
125420,579,1996-10-29 00:00,0,408,7239,5,120,0,0,0,,0,,
125421,589,1996-09-02 00:00,0,400,0,0,0,0,0,0,,0,,
125422,589,1996-09-12 00:00,0,401,0,0,0,0,0,29,,0,,
125423,589,1996-10-31 00:00,0,408,7312,6,151,0,0,0,,0,,
125424,590,1996-09-02 00:00,0,400,0,0,0,0,0,0,,0,,
125425,590,1996-09-12 00:00,0,401,0,0,0,0,0,29,,0,,
125426,590,1996-10-29 00:00,0,408,8308,5,126,0,0,0,,0,,
125427,591,1996-09-03 00:00,0,400,0,0,0,0,0,0,,0,,
125428,591,1996-09-12 00:00,0,401,0,0,0,0,0,29,,0,,
125429,591,1997-02-27 00:00,0,408,7439,8,258,0,0,0,,0,,
125430,608,1996-09-25 00:00,0,400,0,0,0,0,0,0,,0,,
125431,608,1996-10-02 00:00,0,401,0,0,0,0,0,41,,0,,
125432,608,1996-10-31 00:00,0,408,7313,6,148,0,0,0,,0,,
125433,610,1996-09-26 00:00,0,400,0,0,0,0,0,0,,0,,
125434,610,1996-09-19 00:00,0,401,0,0,0,0,0,34,,0,,
125435,610,1996-10-02 00:00,0,408,7238,5,0,0,0,0,,0,,
125436,638,1996-10-03 00:00,0,400,0,0,0,0,0,0,,0,,
125437,638,1996-10-17 00:00,0,401,0,0,0,0,0,47,,0,,
125438,638,1996-10-29 00:00,0,408,8320,5,138,0,0,0,,0,,
125439,652,1996-10-18 00:00,0,400,0,0,0,0,0,0,,0,,
125440,652,1996-10-17 00:00,0,401,0,0,0,0,0,47,,0,,
125441,652,1997-04-01 00:00,0,414,7508,10,0,0,0,0,,0,,
125442,663,1996-10-30 00:00,0,400,0,0,0,0,0,0,,0,,
125443,663,1996-10-24 00:00,0,401,0,0,0,0,0,56,,0,,
125444,663,1996-10-31 00:00,0,408,8321,6,150,0,0,0,,0,,
125445,687,1996-12-04 00:00,0,400,0,0,0,0,0,0,,0,,
125446,687,1996-12-11 00:00,0,401,0,0,0,0,0,80,,0,,
125447,687,1997-03-28 00:00,0,408,7477,10,300,0,0,0,,0,,
125448,688,1996-12-04 00:00,0,400,0,0,0,0,0,0,,0,,
125449,688,1996-12-11 00:00,0,401,0,0,0,0,0,80,,0,,
125450,688,1997-03-28 00:00,0,408,7468,10,301,0,0,0,,0,,
125451,759,1996-12-17 00:00,0,400,0,0,0,0,0,0,,0,,
125452,759,,0,403,0,0,0,0,0,0,,0,,
125453,759,,0,412,0,0,0,0,0,0,,0,,
125454,759,1996-12-20 00:00,0,408,7326,7,201,0,0,0,,0,,
125455,772,1996-12-30 00:00,0,400,0,0,0,0,0,0,,0,,
125456,772,1997-01-16 00:00,0,401,0,0,0,0,0,88,,0,,
125457,772,1997-04-01 00:00,0,414,7507,10,305,0,0,0,,0,,
125458,778,1997-01-10 00:00,0,400,0,0,0,0,0,0,,0,,
125459,778,1997-01-16 00:00,0,401,0,0,0,0,0,88,,0,,
125460,778,1997-02-27 00:00,0,408,7440,8,259,0,0,0,,0,,
125461,782,1997-01-14 00:00,0,400,0,0,0,0,0,0,,0,,
125462,782,,0,403,0,0,0,0,0,0,,0,,
125463,782,,0,412,0,0,0,0,0,0,,0,,
125464,782,1997-04-01 00:00,0,408,7478,10,306,0,0,0,,0,,
125465,785,1997-01-20 00:00,0,400,0,0,0,0,0,0,,0,,
125466,785,1997-01-23 00:00,0,401,0,0,0,0,0,92,,0,,
125467,785,1997-06-11 00:00,0,408,7515,11,374,0,0,0,,0,,
125468,786,1997-01-17 00:00,0,400,0,0,0,0,0,0,,0,,
125469,786,,0,403,0,0,0,0,0,0,,0,,
125470,786,,0,412,0,0,0,0,0,0,,0,,
125471,786,1997-03-28 00:00,0,408,7504,10,302,0,0,0,,0,,
125472,791,1997-01-29 00:00,0,400,0,0,0,0,0,0,,0,,
125473,791,1997-02-05 00:00,0,401,0,0,0,0,0,101,,0,,
125474,791,1997-04-03 00:00,0,408,7469,10,320,0,0,0,,0,,
125475,798,1997-01-23 00:00,0,400,0,0,0,0,0,0,,0,,
125476,798,1997-01-23 00:00,0,401,0,0,0,0,0,92,,0,,
125477,798,1997-02-14 00:00,0,408,7443,8,221,0,0,0,,0,,
125478,838,1997-02-26 00:00,0,400,0,0,0,0,0,0,,0,,
125479,838,1997-02-26 00:00,0,401,0,0,0,0,0,113,,0,,
125480,838,1997-04-04 00:00,0,408,7505,10,325,0,0,0,,0,,
125481,853,1997-03-04 00:00,0,400,0,0,0,0,0,0,,0,,
125482,853,1997-03-06 00:00,0,401,0,0,0,0,0,117,,0,,
125483,853,1997-06-11 00:00,0,408,7575,11,381,0,0,0,,0,,
125484,859,1997-02-26 00:00,0,400,0,0,0,0,0,0,,0,,
125485,859,1997-02-26 00:00,0,401,0,0,0,0,0,113,,0,,
125486,859,1997-04-04 00:00,0,408,7470,10,326,0,0,0,,0,,
125487,926,1997-04-01 00:00,0,400,0,0,0,0,0,0,,0,,
125488,926,1997-04-02 00:00,0,401,0,0,0,0,0,136,,0,,
125489,926,1997-06-11 00:00,0,414,7513,11,0,0,0,0,,0,,
125490,927,1997-04-11 00:00,0,400,0,0,0,0,0,0,,0,,
125491,927,1997-04-17 00:00,0,401,0,0,0,0,0,142,,0,,
125492,927,1997-06-11 00:00,0,408,7568,11,380,0,0,0,,0,,
125493,942,1997-04-17 00:00,0,400,0,0,0,0,0,0,,0,,
125494,942,1997-04-24 00:00,0,401,0,0,0,0,0,148,,0,,
125495,942,1997-07-04 00:00,0,408,7652,12,410,0,0,0,,0,,
125496,972,1997-04-30 00:00,0,400,0,0,0,0,0,0,,0,,
125497,972,1997-04-24 00:00,0,401,0,0,0,0,0,185,,0,,
125498,972,1997-07-08 00:00,0,408,7607,12,418,0,0,0,,0,,
125499,976,1997-05-06 00:00,0,400,0,0,0,0,0,0,,0,,
125500,976,,0,403,0,0,0,0,0,0,,0,,
125501,976,,0,412,0,0,0,0,0,0,,0,,
125502,976,1997-06-11 00:00,0,408,7571,11,376,0,0,0,,0,,
125503,977,1997-05-06 00:00,0,400,0,0,0,0,0,0,,0,,
125504,977,,0,403,0,0,0,0,0,0,,0,,
125505,977,,0,412,0,0,0,0,0,0,,0,,
125506,977,1997-06-11 00:00,0,408,7572,11,385,0,0,0,,0,,
125507,978,1997-05-12 00:00,0,400,0,0,0,0,0,0,,0,,
125508,978,1997-05-14 00:00,0,401,0,0,0,0,0,164,,0,,
125509,978,1997-07-08 00:00,0,408,7577,12,420,0,0,0,,0,,
125510,993,1997-05-09 00:00,0,400,0,0,0,0,0,0,,0,,
125511,993,1997-05-14 00:00,0,401,0,0,0,0,0,164,,0,,
