id_stav,id_typ,id_druh,popis,lhuta,lhuta_where
0,0,0,,0,0
10,7,1,do 15-ti dnů od rozeslání,-15,0
11,10,1,,0,0
12,1,1,po 10 dnech od rozeslání poslancům,10,0
13,3,1,60 dnů (+-20) od přikázání,60,17
14,4,1,,0,0
15,21,1,72 hod. od rozeslání pozměň. návrhů,2,0
16,12,1,do 30 dnů od doručení,-30,38
17,14,1,po 10 dnech od zamítnutí Senátem,10,44
18,8,1,do 15 dnů od postoupení,-15,49
19,13,1,po 10 dnech od nepodepsání,10,51
20,11,1,,0,0
21,6,1,,0,0
22,17,1,po 10 dnech od rozeslání poslancům,10,0
23,18,1,,0,0
24,44,1,,0,0
25,44,3,,0,0
26,14,1,po 10 dnech od rozeslání,10,62
27,20,1,,0,0
28,20,2,,0,0
30,3,1,dle lhůty od předsedy PS,0,1103
31,21,1,,0,0
32,5,1,,0,0
33,63,1,po 10 dnech od rozeslání,10,62
34,64,1,,0,0
50,15,2,do 30 dnů od doručení,-30,101
51,7,2,do 15 dnů od doručení stan. vlády,-15,102
52,10,2,,0,0
53,1,2,po 10 dnech od rozesl. stan. vlády,9,109
54,3,2,60 dnů (+-20) od přikázání,60,111
55,4,2,,0,0
56,21,2,72 hod. od rozeslání pozměň. návrhů,2,0
57,12,2,do 30 dnů od doručení,-30,132
58,14,2,po 10 dnech od rozeslání,10,138
59,8,2,do 15 dnů od postoupení,-15,143
60,13,2,po 10 dnech od nepodepsání,10,145
61,11,2,,0,0
62,6,2,,0,0
63,16,2,,0,0
64,17,2,po 10 dnech od rozeslání poslancům,10,109
65,18,2,,0,0
66,5,2,,2,126
67,22,2,,0,0
68,20,1,,0,0
69,20,2,,0,0
70,64,2,,0,0
100,10,3,,0,0
101,1,3,,0,0
102,15,3,,20,0
103,2,3,,30,202
104,5,3,48 hodin od ukončení 2. čtení,1,207
105,8,3,do 15 dnů od postoupení,-15,216
106,13,3,po 10 dnech od rozeslání,10,220
107,11,3,,0,0
108,6,3,,0,0
140,10,1, ,0,0
141,20,1,,0,0
150,7,4,do 15-ti dnů od rozeslání,-15,0
151,10,4, ,0,0
152,1,4,po 10 dnech od rozeslání poslancům,10,0
153,2,4,60 dnů (+-20) od přikázání,60,305
154,12,4,do 30 dnů od doručení,-30,313
155,14,4,po 10 dnech od rozeslání,10,319
156,11,4, ,0,0
157,6,4, ,0,0
158,8,4, ,0,0
159,15,4,,0,0
160,19,4,,0,0
161,20,4,,0,0
162,17,4,,0,0
163,18,4,,0,0
165,7,4,do 15-ti dnů od rozeslání,-15,0
166,10,4, ,0,0
167,1,4,po 10 dnech od rozeslání poslancům,10,0
168,2,4,60 dnů (+-20) od přikázání,60,305
169,12,4,do 30 dnů od doručení,-30,313
170,14,4,po 10 dnech od rozeslání,10,319
171,11,4, ,0,0
172,6,4, ,0,0
173,8,4, ,0,0
175,19,4,,0,0
176,20,4,,0,0
177,17,4,,0,0
178,18,4,,0,0
200,7,5,,0,0
201,10,5,,0,0
202,1,5,,0,0
203,6,5,,0,0
204,65,5,,0,0
250,20,6,"pokud nesouhlas, nová odpověď do 30 dnů",-30,0
251,6,6,,0,0
300,40,2,,0,0
301,41,2,,0,0
302,40,1,,0,0
303,41,1,,0,0
401,42,1,,0,0
402,42,2,,0,0
403,42,3,,0,0
404,42,4,,0,0
405,42,5,,0,0
406,42,6,,0,0
416,42,16,,0,0
417,42,17,,0,0
466,6,16,,0,0
467,6,17,,0,0
468,6,18,,0,0
469,6,19,,0,0
500,7,41,,0,0
501,10,41,,0,0
502,1,41,,0,0
503,6,41,,0,0
600,10,45,,0,0
601,52,45,,0,0
602,1,45,,0,0
603,6,46,,0,0
700,7,46,,0,0
701,10,46,,0,0
702,1,46,,0,0
703,2,46,60 dnů (+-20) od přikázání,60,802
704,6,46,,0,0
800,10,45,,0,0
801,52,45,,0,0
802,1,45,,0,0
803,6,45,,0,0
900,0,48,,0,0
901,20,48,,0,0
902,6,48,,0,0
1001,1,49,,0,0
1002,6,49,,0,0
1003,12,49,,0,0
1004,8,49,,0,0
1005,11,49,,0,0
1006,11,49,,0,0
1007,20,49,,0,0
1101,4,1,,0,0
1102,21,1,14 dnů od rozeslání pozměňovacích návrhů,14,0
1103,21,1,14 dnů od rozeslání pozměňovacích návrhů,14,0
1104,54,1,,0,0
1105,55,1,,0,0
1106,4,2,,0,0
1107,21,2,14 dnů od rozeslání pozměňovacích návrhů,13,0
1108,21,2,14 dnů od rozeslání pozměňovacích návrhů,13,0
1109,54,2,,0,0
1110,55,2,,0,0
1200,7,53,,0,0
1201,10,53,,0,0
1202,1,53,,0,0
1203,6,53,,0,0
